6,058;2,017;-4,683;0;-0,7071068;0;0,7071068
5,713657;1,40457;-4,778294;0,08172054;0,6028412;-0,08454966;-0,7891487
5,713491;1,404538;-4,777732;0,08373272;0,6018127;-0,08928411;-0,7892014
5,713502;1,404493;-4,777838;0,08414983;0,6014547;-0,09001511;-0,7893469
5,713528;1,404451;-4,777996;0,08448235;0,6011875;-0,0906193;-0,7894458
5,713556;1,404407;-4,778014;0,08492621;0,6011943;-0,09085657;-0,7893657
5,713649;1,404427;-4,778015;0,08528218;0,6015637;-0,09044147;-0,7890935
5,713761;1,404452;-4,778013;0,08565897;0,6019053;-0,09010056;-0,7888311
5,713794;1,404613;-4,77798;0,08559852;0,6027483;-0,08884994;-0,7883357
5,713776;1,404549;-4,777989;0,08487408;0,6036401;-0,08774526;-0,7878553
5,713763;1,404526;-4,777985;0,08405527;0,6039924;-0,08671368;-0,7877873
5,713739;1,404483;-4,777975;0,08332059;0,6043199;-0,08579239;-0,7877151
5,713668;1,404476;-4,777964;0,08326729;0,6039619;-0,08537716;-0,7880403
5,71354;1,404465;-4,777942;0,08322559;0,6036719;-0,08504325;-0,788303
5,713518;1,404561;-4,777975;0,08236057;0,6031141;-0,08488649;-0,7888374
5,713492;1,404677;-4,778015;0,08160037;0,6026189;-0,08475035;-0,7893094
5,713498;1,404896;-4,77815;0,08139876;0,6016806;-0,08563939;-0,7899498
5,713671;1,404989;-4,77847;0,08169099;0,6014817;-0,08602657;-0,790029
5,713856;1,405086;-4,778809;0,08191862;0,6013209;-0,086332;-0,7900946
5,71383;1,404866;-4,779047;0,08283916;0,6014138;-0,0867534;-0,7898817
5,713845;1,404798;-4,779009;0,08414451;0,6014386;-0,08641421;-0,789762
5,713846;1,404798;-4,779005;0,08414451;0,6014386;-0,08641421;-0,789762
5,713856;1,404798;-4,778955;0,08489478;0,601146;-0,0853696;-0,7900181
5,713889;1,404771;-4,778965;0,08494644;0,6008254;-0,08386818;-0,7904171
5,713972;1,404789;-4,778964;0,08499955;0,6008745;-0,08257111;-0,7905107
5,714033;1,404803;-4,778968;0,08513998;0,6009762;-0,08210487;-0,7904668
5,714099;1,404818;-4,778974;0,0852658;0,6010482;-0,08168074;-0,7904424
5,714125;1,404735;-4,778967;0,08540922;0,601514;-0,0815002;-0,7900912
5,71415;1,404647;-4,77896;0,08554278;0,6019117;-0,08131682;-0,7897927
5,714155;1,404603;-4,778924;0,08654455;0,6025728;-0,08116546;-0,7891948
5,714088;1,404594;-4,778872;0,08646957;0,6029668;-0,08177011;-0,7888395
5,714061;1,404636;-4,77883;0,08595534;0,6032581;-0,08226416;-0,7886217
5,714025;1,404695;-4,778774;0,08548143;0,6035374;-0,08271376;-0,7884125
5,714017;1,404826;-4,778697;0,08492949;0,6034562;-0,08321074;-0,7884819
5,714009;1,405004;-4,778595;0,08431946;0,60338;-0,0837528;-0,7885484
5,714046;1,405149;-4,778494;0,08346169;0,6036769;-0,08431699;-0,7883521
5,714248;1,405515;-4,778085;0,08232282;0,6049219;-0,08425677;-0,7875236
5,714301;1,405724;-4,777655;0,0779663;0,6069844;-0,08391256;-0,7864159
5,714572;1,406499;-4,777258;0,07427487;0,6091184;-0,08427763;-0,7850831
5,714848;1,407287;-4,776862;0,07123645;0,6108641;-0,08457126;-0,7839759
5,714802;1,407309;-4,776971;0,06938682;0,6122166;-0,08566359;-0,7829676
