6,058;2,017;-4,483;0;-0,7071068;0;0,7071068
6,211096;1,823308;-4,369474;0,03897911;-0,7323213;-0,1805121;0,6554401
6,210516;1,822687;-4,368367;0,04316805;-0,7307848;-0,1809717;0,6567644
6,210489;1,822645;-4,368311;0,04268772;-0,7305124;-0,1798367;0,6574103
6,210493;1,822645;-4,368317;0,04268772;-0,7305124;-0,1798367;0,6574103
6,21051;1,822645;-4,368342;0,04247948;-0,7304407;-0,1792594;0,6576611
6,210492;1,822627;-4,368371;0,04207924;-0,7304218;-0,178875;0,6578124
6,210504;1,822629;-4,368504;0,04122324;-0,7304132;-0,1778614;0,658151
6,210516;1,822631;-4,36867;0,04042052;-0,7303795;-0,1768445;0,6585121
6,21048;1,822654;-4,36869;0,03862043;-0,7300115;-0,1755286;0,6593797
6,210539;1,822607;-4,368719;0,03826874;-0,7301468;-0,1756646;0,6592141
6,210598;1,822557;-4,368745;0,03798941;-0,7302293;-0,1757199;0,6591242
6,210697;1,822655;-4,368776;0,03667261;-0,7305722;-0,1762631;0,6586736
6,21076;1,822689;-4,368856;0,03671666;-0,730666;-0,1760597;0,6586215
6,210826;1,822778;-4,368947;0,03613394;-0,7303641;-0,1764304;0,6588893
6,210894;1,822876;-4,369042;0,03558781;-0,7300806;-0,1767419;0,6591496
6,210923;1,82283;-4,369072;0,03511992;-0,7298626;-0,1762419;0,65955
6,210944;1,82279;-4,369093;0,03466364;-0,7296481;-0,1757745;0,6599361
6,210899;1,822815;-4,369137;0,03477103;-0,729781;-0,1759401;0,6597393
6,210935;1,822904;-4,36916;0,03552593;-0,7298018;-0,176527;0,6595193
6,210968;1,823141;-4,369196;0,03829166;-0,7298276;-0,1783774;0,6588377
6,21089;1,823293;-4,369216;0,04342094;-0,729701;-0,1804309;0,6581002
6,210802;1,823454;-4,369234;0,04822837;-0,7295402;-0,1823436;0,6574162
6,210702;1,823624;-4,36925;0,05219837;-0,7293768;-0,1839089;0,6568581
6,210501;1,823641;-4,369181;0,05645557;-0,7303376;-0,1844555;0,6552832
6,210321;1,823634;-4,369044;0,05674996;-0,730641;-0,1841254;0,6550124
6,210335;1,823558;-4,369018;0,05446187;-0,7313612;-0,1831346;0,6546804
6,210347;1,823499;-4,368998;0,05323514;-0,7318245;-0,1825689;0,6544217
6,210351;1,823292;-4,368937;0,05023176;-0,7326442;-0,1811988;0,6541227
