6,058,2,017,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
6,058,1,79944,-4,583,0,-0,7071068,0,0,7071068
