R_Wrist;6,146875;1,814159;-4,427899;-0,06368348;0,817326;0,114965;-0,5609865
R_IndexMetacarpal;6,118649;1,815067;-4,463296;-0,06368348;0,817326;0,114965;-0,5609865
R_IndexProximal;6,059705;1,824488;-4,488306;-0,06303995;0,8173735;0,06314782;-0,5691566
R_IndexIntermediate;6,021441;1,825771;-4,502339;-0,1424382;0,8150303;-0,005889386;-0,5616073
R_IndexDistal;5,997567;1,82134;-4,511983;-0,1723852;0,7974152;-0,02444651;-0,5777673
R_IndexTip;5,975196;1,81657;-4,519473;-0,1723852;0,7974152;-0,02444651;-0,5777673
R_LittleMetacarpal;6,103532;1,802885;-4,420822;-0,2572713;0,7013956;0,2035311;-0,6327962
R_LittleProximal;6,054828;1,800919;-4,426531;-0,1498922;0,674589;0,1757305;-0,7011285
R_LittleIntermediate;6,021844;1,801807;-4,425047;-0,2799002;0,6570213;0,1153656;-0,690413
R_LittleDistal;6,000624;1,796678;-4,425485;-0,2811678;0,6916407;0,1210269;-0,6541644
R_LittleTip;5,977388;1,793161;-4,427713;-0,2811678;0,6916407;0,1210269;-0,6541644
R_MiddleMetacarpal;6,114532;1,812078;-4,44641;-0,06368348;0,817326;0,114965;-0,5609865
R_MiddleProximal;6,051678;1,823929;-4,465672;-0,1055103;0,7784188;0,07636178;-0,6140853
R_MiddleIntermediate;6,006812;1,823435;-4,476478;-0,1636544;0,7786227;0,02070066;-0,6054219
R_MiddleDistal;5,978685;1,818521;-4,484359;-0,1927886;0,7701974;0,05190656;-0,6057513
R_MiddleTip;5,952754;1,815404;-4,490671;-0,1927886;0,7701974;0,05190656;-0,6057513
Spawner Right;6,051678;1,823929;-4,465672;0,2156681;0,6359496;0,4553407;-0,5845686
R_Palm;6,083105;1,818003;-4,456041;-0,06368348;0,817326;0,114965;-0,5609865
R_RingMetacarpal;6,10604;1,808513;-4,427899;-0,06368348;0,817326;0,114965;-0,5609865
R_RingProximal;6,051056;1,814112;-4,445593;-0,1223763;0,7434918;0,1256831;-0,6453278
R_RingIntermediate;6,009534;1,815325;-4,451275;-0,1974359;0,745851;0,09131735;-0,6295923
R_RingDistal;5,981674;1,812115;-4,456718;-0,2274784;0,7660649;0,06807879;-0,597297
R_RingTip;5,956418;1,809151;-4,463073;-0,2274784;0,7660649;0,06807879;-0,597297
R_ThumbMetacarpal;6,12529;1,811843;-4,474531;0,498246;0,8510638;-0,1221376;-0,1119103
R_ThumbProximal;6,114378;1,808474;-4,507566;0,4204115;0,8664244;-0,157008;-0,2188873
R_ThumbDistal;6,0958;1,805276;-4,538626;0,4911442;0,8477292;-0,1556303;-0,126144
R_ThumbTip;6,08663;1,802723;-4,563327;0,4911442;0,8477292;-0,1556303;-0,126144
R_Wrist;6,147111;1,814762;-4,428125;-0,0644531;0,817861;0,1130105;-0,5605158
R_IndexMetacarpal;6,118945;1,815491;-4,463575;-0,0644531;0,817861;0,1130105;-0,5605158
R_IndexProximal;6,060016;1,82466;-4,488713;-0,06346091;0,8181968;0,06157839;-0,5680976
R_IndexIntermediate;6,021791;1,825829;-4,50286;-0,142914;0,8156808;-0,007783964;-0,5605176
R_IndexDistal;5,997958;1,821311;-4,512567;-0,1726753;0,7980334;-0,02622203;-0,5767483
R_IndexTip;5,97562;1,816472;-4,520112;-0,1726753;0,7980334;-0,02622203;-0,5767483
R_LittleMetacarpal;6,103792;1,803363;-4,421098;-0,2578442;0,7017845;0,2014238;-0,6328061
R_LittleProximal;6,055105;1,801222;-4,42689;-0,1501216;0,6747469;0,1736991;-0,7014334
R_LittleIntermediate;6,022118;1,802009;-4,425425;-0,2798503;0,6568549;0,1135583;-0,6908907
R_LittleDistal;6,000911;1,796823;-4,425852;-0,2812551;0,6914841;0,1191796;-0,6546309
R_LittleTip;5,977686;1,793236;-4,428076;-0,2812551;0,6914841;0,1191796;-0,6546309
R_MiddleMetacarpal;6,114808;1,812529;-4,446689;-0,0644531;0,817861;0,1130105;-0,5605158
R_MiddleProximal;6,05195;1,824129;-4,466093;-0,1054739;0,7790277;0,07513223;-0,6134709
R_MiddleIntermediate;6,007106;1,823559;-4,476985;-0,1630861;0,7791183;0,02004238;-0,6049597
R_MiddleDistal;5,97899;1,81864;-4,4849;-0,1920658;0,7707133;0,05142021;-0,6053661
R_MiddleTip;5,953065;1,815533;-4,491242;-0,1920658;0,7707133;0,05142021;-0,6053661
Spawner Right;6,05195;1,824129;-4,466093;0,2153924;0,6370917;0,4545802;-0,5840184
R_Palm;6,083379;1,818329;-4,45639;-0,0644531;0,817861;0,1130105;-0,5605158
R_RingMetacarpal;6,106294;1,808981;-4,428185;-0,0644531;0,817861;0,1130105;-0,5605158
R_RingProximal;6,051324;1,814358;-4,445991;-0,1225587;0,7439744;0,1240675;-0,6450496
R_RingIntermediate;6,009809;1,815469;-4,451736;-0,1973691;0,7461704;0,08993697;-0,6294336
R_RingDistal;5,981959;1,812205;-4,457206;-0,2273656;0,7663119;0,06677313;-0,5971704
R_RingTip;5,956714;1,809196;-4,463581;-0,2273656;0,7663119;0,06677313;-0,5971704
R_ThumbMetacarpal;6,125616;1,812261;-4,47479;0,4971142;0,851802;-0,1228206;-0,110572
R_ThumbProximal;6,114763;1,80879;-4,507834;0,4191706;0,8668226;-0,1591636;-0,218133
R_ThumbDistal;6,096176;1,805408;-4,538869;0,4897236;0,8482677;-0,1577877;-0,1253633
R_ThumbTip;6,086987;1,802724;-4,563549;0,4897236;0,8482677;-0,1577877;-0,1253633
R_Wrist;6,147327;1,81535;-4,428336;-0,06570542;0,8177306;0,11328;-0,5605063
